Sample_no.	date	depth	temp	sal	sigT	flSP	flWL	turb	svCM	Ox...sat.	Ox..ml.L.	Ox..mg.L.	flag	Date	DoY	Year
S01	24.02.2016	5	2.4	26.6	21.2	0.4	0.7	10.1	1449	69.6	5.6	7.9	0	24.02.2016	55	2016
S02	11.04.2016	5	5.4	23	18.1	0.9	0.7	11.5	1457	105.3	8	11.4	0	11.04.2016	102	2016
S03	22.06.2016	5	16.6	23.2	16.5	6	0.4	24.2	1498	103.8	NA	8.8	0	22.06.2016	174	2016
S04	18.08.2016	5	18.9	20.9	14.3	1.9	0.4	26.4	1502.5	46.4	2.7	3.8	0	18.08.2016	231	2016
S05	12.09.2016	5	17.2	22.6	16	2.7	0.4	9	1499.3	61.6	NA	5.2	0	12.09.2016	256	2016
S06	25.11.2016	5	5.9	30.3	23.8	0.7	0.4	15.4	1468.4	69.9	NA	7.1	0	25.11.2016	330	2016
S07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016
S08	20.02.2017	5	1.3	26.7	21.4	1	0.6	28.2	1444.3	85.53	NA	-2.6	0	20.02.2017	51	2017
S09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2017
S10	18.04.2017	5	6.1	23.8	18.7	3.4	0.4	38.6	1460.9	114.9	8.5	12.2	0	18.04.2017	108	2017
S11	15.05.2017	5	7.7	28.3	22	4.9	0.4	28.3	1473	102.7	NA	10.2	0	15.05.2017	135	2017
S12	21.06.2017	5	15.6	21.7	15.6	2.2	0.7	18.4	1493.2	101.6	NA	8.9	0	21.06.2017	172	2017
S13	14.08.2017	5	18.4	23.6	16.4	1.5	0.3	25.7	1504.2	99.7	5.7	8.1	0	14.08.2017	226	2017
S14	18.09.2017	5	15.7	22.2	16	0.8	0.5	15.5	1494.3	97.5	NA	8.5	0	18.09.2017	261	2017
S15	18.10.2017	5	11.7	23.1	17.4	1.8	0.6	24	1481.6	91.8	NA	8.6	0	18.10.2017	291	2017
S16	16.11.2017	5	6.2	23.9	18.8	1.1	0.7	0.5	1461.5	90.7	NA	9.6	0	16.11.2017	320	2017
S17	15.12.2017	5	4.8	28.6	22.6	0.3	0.5	0.6	1462	75.9	NA	8	0	15.12.2017	349	2017
